,ID,Genbank ID,Assembly ID,Mafname,Name,Group,Leaf assignment,C_0,C_1,C_30,C_31,C_32,C_33,C_34,C_2,C_21,C_26,C_27,C_28,C_29,C_22,C_23,C_24,C_25,C_3,C_12,C_19,C_20,C_13,C_14,C_17,C_18,C_15,C_16,C_4,C_8,C_10,C_11,C_9,C_5,C_6,C_7
61,61,,KM034556,KM034556v1.KM034556v1,G3677v1_2014,Ebola 2014,30,1.0000,0.9999,0.9999,0.9705,0.9715,0.9659,0.9683,0.6349,0.6349,0.6349,0.6327,0.6277,0.6298,0.6328,0.6328,0.6332,0.6332,0.6314,0.6307,0.6307,0.6307,0.6340,0.6340,0.6340,0.6351,0.6079,0.6084,0.6576,0.6576,0.6575,0.6567,0.6589,0.6468,0.3780,0.3977
62,62,,KM034557,KM034557v1.KM034557v1,G3677v2_2014,Ebola 2014,30,1.0000,0.9999,0.9999,0.9705,0.9716,0.9660,0.9683,0.6352,0.6352,0.6352,0.6331,0.6280,0.6302,0.6331,0.6331,0.6336,0.6336,0.6317,0.6310,0.6310,0.6310,0.6341,0.6343,0.6343,0.6355,0.6071,0.6087,0.6579,0.6579,0.6578,0.6570,0.6592,0.6472,0.3776,0.3973
63,63,,KM034558,KM034558v1.KM034558v1,G3679v1_2014,Ebola 2014,30,0.9999,0.9998,0.9998,0.9704,0.9715,0.9659,0.9682,0.6344,0.6344,0.6344,0.6323,0.6273,0.6294,0.6324,0.6324,0.6328,0.6328,0.6311,0.6305,0.6305,0.6305,0.6337,0.6337,0.6337,0.6348,0.6084,0.6087,0.6574,0.6574,0.6573,0.6564,0.6586,0.6464,0.3784,0.3981
64,64,,KM034559,KM034559v1.KM034559v1,G3680v1_2014,Ebola 2014,30,0.9997,0.9997,0.9997,0.9706,0.9717,0.9661,0.9684,0.6348,0.6348,0.6348,0.6327,0.6277,0.6298,0.6327,0.6327,0.6332,0.6332,0.6313,0.6307,0.6307,0.6306,0.6339,0.6339,0.6339,0.6351,0.6081,0.6083,0.6577,0.6577,0.6576,0.6568,0.6590,0.6469,0.3782,0.3979
65,65,,KM034560,KM034560v1.KM034560v1,G3682v1_2014,Ebola 2014,30,1.0000,0.9999,0.9999,0.9705,0.9716,0.9660,0.9683,0.6351,0.6351,0.6351,0.6330,0.6279,0.6301,0.6331,0.6331,0.6335,0.6335,0.6316,0.6309,0.6309,0.6309,0.6341,0.6343,0.6343,0.6354,0.6073,0.6086,0.6579,0.6579,0.6577,0.6569,0.6592,0.6471,0.3777,0.3973
66,66,,KM034561,KM034561v1.KM034561v1,G3683v1_2014,Ebola 2014,30,0.9997,0.9997,0.9997,0.9706,0.9717,0.9660,0.9684,0.6345,0.6345,0.6345,0.6325,0.6274,0.6295,0.6324,0.6324,0.6329,0.6329,0.6311,0.6305,0.6305,0.6304,0.6338,0.6338,0.6338,0.6349,0.6087,0.6088,0.6576,0.6576,0.6574,0.6566,0.6589,0.6468,0.3785,0.3982
67,67,,KM034563,KM034563v1.KM034563v1,G3687v1_2014,Ebola 2014,30,0.9973,0.9972,0.9972,0.9686,0.9696,0.9641,0.9664,0.6344,0.6344,0.6344,0.6324,0.6272,0.6295,0.6318,0.6318,0.6324,0.6324,0.6311,0.6304,0.6304,0.6304,0.6337,0.6341,0.6341,0.6352,0.6129,0.6116,0.6581,0.6581,0.6580,0.6569,0.6591,0.6464,0.3850,0.4039
68,68,,KM233035,KM233035v1.KM233035v1,EM104_2014,Ebola 2014,30,0.9999,0.9999,0.9999,0.9703,0.9714,0.9658,0.9681,0.6348,0.6348,0.6348,0.6327,0.6276,0.6298,0.6327,0.6327,0.6330,0.6331,0.6311,0.6304,0.6304,0.6303,0.6337,0.6338,0.6338,0.6348,0.6082,0.6080,0.6576,0.6576,0.6575,0.6565,0.6588,0.6469,0.3784,0.3981
69,69,,KM233036,KM233036v1.KM233036v1,EM106_2014,Ebola 2014,30,0.9999,1.0000,1.0000,0.9703,0.9714,0.9658,0.9681,0.6343,0.6343,0.6343,0.6323,0.6271,0.6293,0.6322,0.6322,0.6326,0.6326,0.6309,0.6303,0.6303,0.6302,0.6335,0.6336,0.6336,0.6347,0.6093,0.6091,0.6575,0.6575,0.6574,0.6564,0.6587,0.6466,0.3792,0.3990
70,70,,KM233037,KM233037v1.KM233037v1,EM110_2014,Ebola 2014,30,0.9999,1.0000,1.0000,0.9704,0.9714,0.9658,0.9682,0.6347,0.6347,0.6347,0.6327,0.6276,0.6297,0.6326,0.6326,0.6330,0.6331,0.6312,0.6305,0.6305,0.6304,0.6337,0.6338,0.6338,0.6349,0.6082,0.6080,0.6576,0.6576,0.6575,0.6566,0.6589,0.6469,0.3784,0.3981
71,71,,KM233038,KM233038v1.KM233038v1,EM111_2014,Ebola 2014,30,0.9999,1.0000,1.0000,0.9704,0.9714,0.9658,0.9682,0.6347,0.6347,0.6347,0.6327,0.6276,0.6297,0.6326,0.6326,0.6330,0.6331,0.6312,0.6305,0.6305,0.6304,0.6337,0.6338,0.6338,0.6349,0.6082,0.6080,0.6576,0.6576,0.6575,0.6566,0.6589,0.6469,0.3784,0.3981
72,72,,KM233039,KM233039v1.KM233039v1,EM112_2014,Ebola 2014,30,0.9999,1.0000,1.0000,0.9705,0.9715,0.9659,0.9682,0.6352,0.6352,0.6352,0.6331,0.6280,0.6302,0.6331,0.6331,0.6335,0.6335,0.6316,0.6309,0.6309,0.6308,0.6341,0.6343,0.6343,0.6354,0.6073,0.6085,0.6579,0.6579,0.6578,0.6569,0.6591,0.6471,0.3777,0.3973
73,73,,KM233040,KM233040v1.KM233040v1,EM113_2014,Ebola 2014,30,0.9999,1.0000,1.0000,0.9704,0.9715,0.9659,0.9682,0.6349,0.6349,0.6349,0.6328,0.6277,0.6298,0.6328,0.6328,0.6331,0.6332,0.6313,0.6306,0.6306,0.6305,0.6339,0.6339,0.6339,0.6350,0.6082,0.6082,0.6577,0.6577,0.6576,0.6566,0.6589,0.6469,0.3782,0.3979
74,74,,KM233041,KM233041v1.KM233041v1,EM115_2014,Ebola 2014,30,0.9999,1.0000,1.0000,0.9703,0.9714,0.9658,0.9681,0.6346,0.6346,0.6346,0.6325,0.6274,0.6296,0.6325,0.6325,0.6328,0.6329,0.6311,0.6305,0.6305,0.6304,0.6337,0.6337,0.6337,0.6349,0.6093,0.6093,0.6576,0.6576,0.6575,0.6566,0.6588,0.6468,0.3790,0.3987
75,75,,KM233042,KM233042v1.KM233042v1,EM119_2014,Ebola 2014,30,0.9998,0.9999,0.9999,0.9703,0.9713,0.9657,0.9681,0.6347,0.6347,0.6347,0.6326,0.6275,0.6297,0.6326,0.6326,0.6329,0.6330,0.6310,0.6304,0.6304,0.6303,0.6336,0.6337,0.6337,0.6348,0.6081,0.6079,0.6576,0.6576,0.6575,0.6566,0.6588,0.6467,0.3784,0.3982
76,76,,KM233043,KM233043v1.KM233043v1,EM120_2014,Ebola 2014,30,0.9999,0.9999,0.9999,0.9704,0.9715,0.9658,0.9682,0.6347,0.6347,0.6347,0.6326,0.6275,0.6297,0.6327,0.6327,0.6331,0.6331,0.6313,0.6307,0.6307,0.6306,0.6338,0.6340,0.6340,0.6351,0.6084,0.6097,0.6577,0.6577,0.6576,0.6568,0.6591,0.6469,0.3784,0.3981
77,77,,KM233044,KM233044v1.KM233044v1,EM121_2014,Ebola 2014,30,0.9999,0.9999,0.9999,0.9704,0.9714,0.9658,0.9682,0.6347,0.6347,0.6347,0.6327,0.6276,0.6297,0.6326,0.6326,0.6330,0.6331,0.6312,0.6306,0.6306,0.6305,0.6338,0.6339,0.6339,0.6350,0.6083,0.6081,0.6575,0.6575,0.6574,0.6566,0.6589,0.6469,0.3784,0.3981
78,78,,KM233045,KM233045v1.KM233045v1,EM124v1_2014,Ebola 2014,30,0.9999,1.0000,1.0000,0.9704,0.9715,0.9659,0.9682,0.6349,0.6349,0.6349,0.6328,0.6277,0.6299,0.6329,0.6329,0.6333,0.6333,0.6314,0.6308,0.6308,0.6307,0.6339,0.6341,0.6341,0.6352,0.6083,0.6098,0.6579,0.6579,0.6578,0.6568,0.6591,0.6471,0.3783,0.3980
79,79,,KM233046,KM233046v1.KM233046v1,EM124v2_2014,Ebola 2014,30,0.9999,1.0000,1.0000,0.9703,0.9714,0.9658,0.9681,0.6343,0.6343,0.6343,0.6322,0.6271,0.6292,0.6322,0.6322,0.6325,0.6326,0.6307,0.6301,0.6301,0.6300,0.6333,0.6334,0.6334,0.6345,0.6097,0.6095,0.6574,0.6574,0.6573,0.6563,0.6587,0.6466,0.3793,0.3991
80,80,,KM233047,KM233047v1.KM233047v1,EM124v3_2014,Ebola 2014,30,0.9999,1.0000,1.0000,0.9704,0.9715,0.9659,0.9682,0.6349,0.6349,0.6349,0.6328,0.6277,0.6299,0.6328,0.6328,0.6332,0.6332,0.6313,0.6307,0.6307,0.6306,0.6339,0.6340,0.6340,0.6351,0.6082,0.6082,0.6577,0.6577,0.6576,0.6567,0.6590,0.6470,0.3783,0.3980
81,81,,KM233048,KM233048v1.KM233048v1,EM124v4_2014,Ebola 2014,30,0.9999,0.9999,0.9999,0.9703,0.9713,0.9657,0.9680,0.6340,0.6340,0.6340,0.6320,0.6268,0.6290,0.6320,0.6320,0.6323,0.6324,0.6308,0.6301,0.6301,0.6300,0.6334,0.6338,0.6338,0.6349,0.6106,0.6104,0.6575,0.6575,0.6574,0.6564,0.6587,0.6466,0.3801,0.3999
82,82,,KM233049,KM233049v1.KM233049v1,G3707_2014,Ebola 2014,30,0.9999,1.0000,1.0000,0.9704,0.9715,0.9659,0.9682,0.6351,0.6351,0.6351,0.6330,0.6279,0.6301,0.6330,0.6330,0.6334,0.6334,0.6315,0.6308,0.6308,0.6307,0.6340,0.6342,0.6342,0.6353,0.6074,0.6085,0.6578,0.6578,0.6577,0.6568,0.6590,0.6470,0.3778,0.3974
83,83,,KM233050,KM233050v1.KM233050v1,G3713v2_2014,Ebola 2014,30,0.9999,0.9999,0.9999,0.9704,0.9715,0.9659,0.9682,0.6352,0.6352,0.6352,0.6331,0.6280,0.6302,0.6332,0.6332,0.6336,0.6336,0.6317,0.6311,0.6311,0.6310,0.6342,0.6344,0.6344,0.6355,0.6071,0.6087,0.6581,0.6581,0.6579,0.6570,0.6593,0.6472,0.3776,0.3973
84,84,,KM233051,KM233051v1.KM233051v1,G3713v3_2014,Ebola 2014,30,0.9999,0.9999,0.9999,0.9704,0.9715,0.9659,0.9682,0.6351,0.6351,0.6351,0.6330,0.6279,0.6301,0.6331,0.6331,0.6335,0.6335,0.6316,0.6310,0.6310,0.6309,0.6341,0.6343,0.6343,0.6354,0.6073,0.6086,0.6580,0.6580,0.6579,0.6569,0.6592,0.6471,0.3777,0.3974
85,85,,KM233052,KM233052v1.KM233052v1,G3713v4_2014,Ebola 2014,30,0.9999,0.9999,0.9999,0.9704,0.9714,0.9658,0.9682,0.6349,0.6349,0.6349,0.6328,0.6277,0.6299,0.6329,0.6329,0.6333,0.6333,0.6314,0.6308,0.6308,0.6307,0.6340,0.6341,0.6341,0.6352,0.6076,0.6084,0.6578,0.6578,0.6577,0.6567,0.6590,0.6469,0.3779,0.3976
86,86,,KM233053,KM233053v1.KM233053v1,G3724_2014,Ebola 2014,30,0.9999,0.9999,0.9999,0.9704,0.9715,0.9659,0.9682,0.6352,0.6352,0.6352,0.6331,0.6280,0.6302,0.6332,0.6332,0.6336,0.6336,0.6317,0.6311,0.6311,0.6310,0.6342,0.6344,0.6344,0.6355,0.6071,0.6086,0.6581,0.6581,0.6579,0.6570,0.6593,0.6472,0.3776,0.3972
87,87,,KM233054,KM233054v1.KM233054v1,G3729_2014,Ebola 2014,30,1.0000,0.9999,0.9999,0.9705,0.9716,0.9660,0.9683,0.6350,0.6350,0.6350,0.6329,0.6278,0.6300,0.6330,0.6330,0.6334,0.6334,0.6315,0.6308,0.6308,0.6308,0.6340,0.6342,0.6342,0.6353,0.6074,0.6085,0.6578,0.6578,0.6577,0.6568,0.6591,0.6470,0.3778,0.3974
88,88,,KM233055,KM233055v1.KM233055v1,G3734v1_2014,Ebola 2014,30,1.0000,0.9999,0.9999,0.9704,0.9714,0.9658,0.9682,0.6344,0.6344,0.6344,0.6323,0.6272,0.6294,0.6323,0.6323,0.6326,0.6327,0.6309,0.6303,0.6303,0.6303,0.6335,0.6336,0.6336,0.6347,0.6094,0.6092,0.6575,0.6575,0.6574,0.6565,0.6588,0.6467,0.3791,0.3989
89,89,,KM233056,KM233056v1.KM233056v1,G3735v1_2014,Ebola 2014,30,0.9999,1.0000,1.0000,0.9705,0.9715,0.9659,0.9682,0.6353,0.6353,0.6353,0.6332,0.6281,0.6302,0.6332,0.6332,0.6336,0.6336,0.6317,0.6310,0.6310,0.6309,0.6342,0.6344,0.6344,0.6355,0.6071,0.6086,0.6580,0.6580,0.6579,0.6569,0.6592,0.6472,0.3776,0.3972
90,90,,KM233057,KM233057v1.KM233057v1,G3735v2_2014,Ebola 2014,30,0.9999,1.0000,1.0000,0.9705,0.9715,0.9659,0.9682,0.6352,0.6352,0.6352,0.6331,0.6280,0.6302,0.6331,0.6331,0.6336,0.6336,0.6316,0.6310,0.6310,0.6309,0.6341,0.6343,0.6343,0.6354,0.6072,0.6086,0.6579,0.6579,0.6578,0.6569,0.6592,0.6472,0.3776,0.3973
91,91,,KM233058,KM233058v1.KM233058v1,G3750v1_2014,Ebola 2014,30,0.9999,0.9999,0.9999,0.9702,0.9713,0.9657,0.9680,0.6341,0.6341,0.6341,0.6320,0.6269,0.6290,0.6319,0.6319,0.6323,0.6324,0.6306,0.6299,0.6299,0.6298,0.6333,0.6334,0.6334,0.6344,0.6098,0.6095,0.6573,0.6573,0.6572,0.6562,0.6585,0.6464,0.3797,0.3995
92,92,,KM233059,KM233059v1.KM233059v1,G3750v2_2014,Ebola 2014,30,0.9999,0.9999,0.9999,0.9703,0.9713,0.9657,0.9681,0.6337,0.6337,0.6337,0.6316,0.6265,0.6286,0.6316,0.6316,0.6320,0.6321,0.6305,0.6297,0.6297,0.6296,0.6331,0.6335,0.6335,0.6346,0.6106,0.6104,0.6572,0.6572,0.6571,0.6561,0.6583,0.6461,0.3809,0.4007
93,93,,KM233060,KM233060v1.KM233060v1,G3750v3_2014,Ebola 2014,30,0.9999,1.0000,1.0000,0.9703,0.9714,0.9657,0.9681,0.6342,0.6342,0.6342,0.6321,0.6270,0.6291,0.6320,0.6320,0.6324,0.6325,0.6307,0.6301,0.6301,0.6300,0.6334,0.6337,0.6337,0.6348,0.6119,0.6117,0.6580,0.6580,0.6579,0.6569,0.6591,0.6463,0.3825,0.4024
94,94,,KM233061,KM233061v1.KM233061v1,G3752_2014,Ebola 2014,30,0.9999,0.9999,0.9999,0.9703,0.9714,0.9657,0.9681,0.6345,0.6345,0.6345,0.6324,0.6273,0.6295,0.6324,0.6324,0.6328,0.6328,0.6311,0.6304,0.6304,0.6303,0.6337,0.6337,0.6337,0.6348,0.6092,0.6094,0.6575,0.6575,0.6574,0.6565,0.6588,0.6467,0.3789,0.3986
95,95,,KM233062,KM233062v1.KM233062v1,G3758_2014,Ebola 2014,30,1.0000,0.9999,0.9999,0.9705,0.9715,0.9659,0.9683,0.6348,0.6348,0.6348,0.6327,0.6277,0.6298,0.6328,0.6328,0.6332,0.6332,0.6314,0.6307,0.6307,0.6307,0.6339,0.6340,0.6340,0.6352,0.6077,0.6084,0.6577,0.6577,0.6575,0.6567,0.6590,0.6468,0.3779,0.3976
96,96,,KM233063,KM233063v1.KM233063v1,G3764_2014,Ebola 2014,30,0.9999,1.0000,1.0000,0.9705,0.9715,0.9659,0.9682,0.6352,0.6352,0.6352,0.6331,0.6280,0.6302,0.6331,0.6331,0.6336,0.6336,0.6316,0.6310,0.6310,0.6309,0.6341,0.6343,0.6343,0.6354,0.6072,0.6086,0.6579,0.6579,0.6578,0.6569,0.6592,0.6472,0.3776,0.3973
97,97,,KM233064,KM233064v1.KM233064v1,G3765v2_2014,Ebola 2014,30,0.9999,1.0000,1.0000,0.9704,0.9714,0.9659,0.9682,0.6344,0.6344,0.6344,0.6323,0.6271,0.6293,0.6325,0.6325,0.6329,0.6329,0.6311,0.6304,0.6304,0.6303,0.6337,0.6340,0.6340,0.6351,0.6116,0.6114,0.6578,0.6578,0.6577,0.6568,0.6589,0.6468,0.3806,0.4005
98,98,,KM233065,KM233065v1.KM233065v1,G3769v1_2014,Ebola 2014,30,0.9999,0.9998,0.9998,0.9704,0.9714,0.9658,0.9681,0.6348,0.6348,0.6348,0.6327,0.6276,0.6297,0.6327,0.6327,0.6331,0.6331,0.6312,0.6305,0.6305,0.6305,0.6338,0.6338,0.6338,0.6349,0.6080,0.6082,0.6576,0.6576,0.6575,0.6567,0.6590,0.6469,0.3781,0.3979
99,99,,KM233066,KM233066v1.KM233066v1,G3769v2_2014,Ebola 2014,30,0.9999,0.9998,0.9998,0.9703,0.9713,0.9657,0.9681,0.6343,0.6343,0.6343,0.6322,0.6271,0.6293,0.6322,0.6322,0.6325,0.6326,0.6308,0.6302,0.6302,0.6301,0.6334,0.6335,0.6335,0.6346,0.6093,0.6091,0.6575,0.6575,0.6574,0.6565,0.6588,0.6467,0.3791,0.3989
100,100,,KM233067,KM233067v1.KM233067v1,G3769v3_2014,Ebola 2014,30,0.9999,0.9998,0.9998,0.9703,0.9714,0.9658,0.9681,0.6346,0.6346,0.6346,0.6325,0.6274,0.6296,0.6325,0.6325,0.6328,0.6329,0.6310,0.6304,0.6304,0.6303,0.6336,0.6337,0.6337,0.6347,0.6081,0.6079,0.6576,0.6576,0.6575,0.6566,0.6589,0.6468,0.3784,0.3982
101,101,,KM233068,KM233068v1.KM233068v1,G3769v4_2014,Ebola 2014,30,0.9999,0.9998,0.9998,0.9704,0.9714,0.9658,0.9681,0.6348,0.6348,0.6348,0.6327,0.6276,0.6297,0.6327,0.6327,0.6331,0.6331,0.6312,0.6305,0.6305,0.6305,0.6338,0.6338,0.6338,0.6349,0.6080,0.6082,0.6576,0.6576,0.6575,0.6567,0.6590,0.6469,0.3781,0.3979
102,102,,KM233069,KM233069v1.KM233069v1,G3770v1_2014,Ebola 2014,30,0.9998,0.9999,0.9999,0.9704,0.9714,0.9658,0.9681,0.6352,0.6352,0.6352,0.6331,0.6281,0.6302,0.6332,0.6332,0.6336,0.6336,0.6316,0.6310,0.6310,0.6309,0.6341,0.6343,0.6343,0.6354,0.6070,0.6085,0.6580,0.6580,0.6579,0.6570,0.6592,0.6471,0.3775,0.3972
103,103,,KM233070,KM233070v1.KM233070v1,G3770v2_2014,Ebola 2014,30,0.9998,0.9999,0.9999,0.9704,0.9714,0.9658,0.9681,0.6352,0.6352,0.6352,0.6331,0.6281,0.6302,0.6332,0.6332,0.6336,0.6336,0.6316,0.6310,0.6310,0.6309,0.6341,0.6343,0.6343,0.6354,0.6070,0.6085,0.6580,0.6580,0.6579,0.6570,0.6592,0.6471,0.3775,0.3972
104,104,,KM233071,KM233071v1.KM233071v1,G3771_2014,Ebola 2014,30,0.9999,1.0000,1.0000,0.9704,0.9714,0.9658,0.9681,0.6345,0.6345,0.6345,0.6325,0.6273,0.6295,0.6324,0.6324,0.6328,0.6328,0.6310,0.6303,0.6303,0.6302,0.6336,0.6337,0.6337,0.6347,0.6081,0.6079,0.6575,0.6575,0.6574,0.6565,0.6587,0.6466,0.3787,0.3984
105,105,,KM233072,KM233072v1.KM233072v1,G3782_2014,Ebola 2014,30,1.0000,0.9999,0.9999,0.9705,0.9716,0.9660,0.9683,0.6351,0.6351,0.6351,0.6330,0.6279,0.6301,0.6330,0.6330,0.6334,0.6334,0.6315,0.6309,0.6309,0.6309,0.6340,0.6342,0.6342,0.6353,0.6073,0.6085,0.6578,0.6578,0.6577,0.6569,0.6591,0.6471,0.3777,0.3974
106,106,,KM233073,KM233073v1.KM233073v1,G3786_2014,Ebola 2014,30,1.0000,0.9999,0.9999,0.9704,0.9715,0.9659,0.9682,0.6347,0.6347,0.6347,0.6326,0.6275,0.6297,0.6326,0.6326,0.6329,0.6330,0.6311,0.6305,0.6305,0.6304,0.6337,0.6338,0.6338,0.6349,0.6082,0.6081,0.6576,0.6576,0.6575,0.6566,0.6589,0.6468,0.3784,0.3982
107,107,,KM233074,KM233074v1.KM233074v1,G3787_2014,Ebola 2014,30,0.9999,0.9998,0.9998,0.9703,0.9714,0.9657,0.9681,0.6345,0.6345,0.6345,0.6324,0.6273,0.6295,0.6324,0.6324,0.6328,0.6328,0.6311,0.6305,0.6305,0.6304,0.6338,0.6338,0.6338,0.6349,0.6093,0.6095,0.6575,0.6575,0.6574,0.6566,0.6589,0.6467,0.3788,0.3986
108,108,,KM233075,KM233075v1.KM233075v1,G3788_2014,Ebola 2014,30,0.9999,0.9999,0.9999,0.9704,0.9715,0.9659,0.9682,0.6348,0.6348,0.6348,0.6327,0.6276,0.6298,0.6327,0.6327,0.6331,0.6331,0.6313,0.6307,0.6307,0.6306,0.6339,0.6339,0.6339,0.6350,0.6078,0.6083,0.6575,0.6575,0.6574,0.6566,0.6589,0.6468,0.3781,0.3978
109,109,,KM233076,KM233076v1.KM233076v1,G3789v1_2014,Ebola 2014,30,0.9999,1.0000,1.0000,0.9704,0.9715,0.9659,0.9682,0.6342,0.6342,0.6342,0.6321,0.6269,0.6291,0.6322,0.6322,0.6326,0.6326,0.6310,0.6303,0.6303,0.6302,0.6336,0.6339,0.6339,0.6349,0.6112,0.6110,0.6576,0.6576,0.6575,0.6566,0.6588,0.6467,0.3805,0.4003
110,110,,KM233077,KM233077v1.KM233077v1,G3795_2014,Ebola 2014,30,1.0000,0.9999,0.9999,0.9704,0.9715,0.9659,0.9682,0.6345,0.6345,0.6345,0.6324,0.6273,0.6295,0.6325,0.6325,0.6329,0.6329,0.6312,0.6305,0.6305,0.6305,0.6338,0.6338,0.6338,0.6349,0.6090,0.6095,0.6575,0.6575,0.6574,0.6566,0.6588,0.6467,0.3787,0.3985
111,111,,KM233078,KM233078v1.KM233078v1,G3796_2014,Ebola 2014,30,1.0000,0.9999,0.9999,0.9704,0.9715,0.9659,0.9682,0.6347,0.6347,0.6347,0.6326,0.6275,0.6297,0.6326,0.6326,0.6329,0.6330,0.6311,0.6305,0.6305,0.6304,0.6337,0.6338,0.6338,0.6349,0.6082,0.6081,0.6576,0.6576,0.6575,0.6566,0.6589,0.6468,0.3784,0.3982
112,112,,KM233079,KM233079v1.KM233079v1,G3798_2014,Ebola 2014,30,0.9999,1.0000,1.0000,0.9703,0.9714,0.9658,0.9681,0.6343,0.6343,0.6343,0.6322,0.6271,0.6293,0.6322,0.6322,0.6325,0.6326,0.6308,0.6302,0.6302,0.6301,0.6334,0.6335,0.6335,0.6346,0.6093,0.6091,0.6574,0.6574,0.6573,0.6564,0.6587,0.6466,0.3793,0.3990
113,113,,KM233080,KM233080v1.KM233080v1,G3799_2014,Ebola 2014,30,0.9999,0.9999,0.9999,0.9704,0.9715,0.9659,0.9682,0.6349,0.6349,0.6349,0.6328,0.6278,0.6299,0.6329,0.6329,0.6333,0.6333,0.6314,0.6308,0.6308,0.6307,0.6339,0.6341,0.6341,0.6352,0.6074,0.6084,0.6578,0.6578,0.6577,0.6568,0.6591,0.6470,0.3778,0.3975
114,114,,KM233081,KM233081v1.KM233081v1,G3800_2014,Ebola 2014,30,1.0000,0.9999,0.9999,0.9705,0.9715,0.9659,0.9682,0.6348,0.6348,0.6348,0.6327,0.6276,0.6298,0.6327,0.6327,0.6331,0.6331,0.6313,0.6306,0.6306,0.6306,0.6339,0.6339,0.6339,0.6350,0.6081,0.6083,0.6576,0.6576,0.6575,0.6566,0.6589,0.6468,0.3782,0.3979
115,115,,KM233082,KM233082v1.KM233082v1,G3805v1_2014,Ebola 2014,30,0.9999,1.0000,1.0000,0.9703,0.9713,0.9657,0.9681,0.6337,0.6337,0.6337,0.6316,0.6265,0.6286,0.6316,0.6316,0.6320,0.6320,0.6304,0.6298,0.6298,0.6297,0.6330,0.6334,0.6334,0.6345,0.6098,0.6097,0.6569,0.6569,0.6568,0.6559,0.6582,0.6460,0.3804,0.4003
116,116,,KM233083,KM233083v1.KM233083v1,G3805v2_2014,Ebola 2014,30,0.9999,1.0000,1.0000,0.9702,0.9713,0.9656,0.9680,0.6338,0.6338,0.6338,0.6317,0.6265,0.6287,0.6317,0.6317,0.6320,0.6321,0.6303,0.6297,0.6297,0.6296,0.6330,0.6334,0.6334,0.6344,0.6097,0.6095,0.6573,0.6573,0.6572,0.6563,0.6586,0.6461,0.3812,0.4011
117,117,,KM233084,KM233084v1.KM233084v1,G3807_2014,Ebola 2014,30,1.0000,0.9999,0.9999,0.9705,0.9715,0.9659,0.9682,0.6349,0.6349,0.6349,0.6328,0.6277,0.6298,0.6327,0.6327,0.6331,0.6332,0.6313,0.6307,0.6307,0.6306,0.6339,0.6340,0.6340,0.6351,0.6082,0.6083,0.6577,0.6577,0.6576,0.6567,0.6590,0.6469,0.3783,0.3980
118,118,,KM233085,KM233085v1.KM233085v1,G3808_2014,Ebola 2014,30,1.0000,0.9999,0.9999,0.9704,0.9715,0.9658,0.9682,0.6345,0.6345,0.6345,0.6324,0.6273,0.6294,0.6323,0.6323,0.6327,0.6328,0.6310,0.6304,0.6304,0.6303,0.6336,0.6337,0.6337,0.6348,0.6095,0.6093,0.6576,0.6576,0.6575,0.6566,0.6589,0.6468,0.3790,0.3988
119,119,,KM233086,KM233086v1.KM233086v1,G3809_2014,Ebola 2014,30,0.9999,0.9999,0.9999,0.9703,0.9713,0.9657,0.9680,0.6341,0.6341,0.6341,0.6320,0.6269,0.6290,0.6320,0.6320,0.6324,0.6324,0.6307,0.6301,0.6301,0.6300,0.6334,0.6337,0.6337,0.6348,0.6106,0.6103,0.6575,0.6575,0.6574,0.6564,0.6586,0.6466,0.3801,0.3999
120,120,,KM233087,KM233087v1.KM233087v1,G3810v1_2014,Ebola 2014,30,0.9999,0.9998,0.9998,0.9703,0.9713,0.9657,0.9680,0.6341,0.6341,0.6341,0.6320,0.6269,0.6290,0.6318,0.6318,0.6322,0.6323,0.6306,0.6299,0.6299,0.6299,0.6332,0.6333,0.6333,0.6343,0.6096,0.6094,0.6572,0.6572,0.6571,0.6563,0.6586,0.6464,0.3796,0.3992
121,121,,KM233088,KM233088v1.KM233088v1,G3810v2_2014,Ebola 2014,30,0.9999,0.9998,0.9998,0.9704,0.9714,0.9658,0.9681,0.6349,0.6349,0.6349,0.6328,0.6277,0.6298,0.6326,0.6326,0.6330,0.6331,0.6313,0.6306,0.6306,0.6306,0.6338,0.6339,0.6339,0.6350,0.6082,0.6082,0.6577,0.6577,0.6576,0.6567,0.6590,0.6469,0.3783,0.3979
122,122,,KM233089,KM233089v1.KM233089v1,G3814_2014,Ebola 2014,30,0.9999,1.0000,1.0000,0.9704,0.9714,0.9658,0.9682,0.6349,0.6349,0.6349,0.6328,0.6277,0.6299,0.6328,0.6328,0.6332,0.6332,0.6313,0.6307,0.6307,0.6306,0.6338,0.6340,0.6340,0.6351,0.6084,0.6098,0.6578,0.6578,0.6577,0.6567,0.6590,0.6470,0.3784,0.3981
123,123,,KM233090,KM233090v1.KM233090v1,G3816_2014,Ebola 2014,30,0.9999,0.9999,0.9999,0.9702,0.9712,0.9656,0.9679,0.6339,0.6339,0.6339,0.6317,0.6265,0.6287,0.6316,0.6316,0.6319,0.6320,0.6302,0.6296,0.6296,0.6295,0.6329,0.6330,0.6330,0.6340,0.6093,0.6091,0.6574,0.6574,0.6573,0.6563,0.6587,0.6459,0.3807,0.4006
