,ID,Genbank ID,Assembly ID,Mafname,Name,Group,Leaf assignment,C_192,C_193,C_191,C_189,C_187,C_185,C_181,C_176,C_177,C_172,C_173,C_166,C_167,C_162,C_163,C_159,C_154,C_155,C_148,C_149,C_142,C_143,C_136,C_137,C_130,C_131,C_123,C_124,C_116,C_117,C_110,C_111,C_104,C_105,C_96,C_97,C_90,C_91,C_87,C_82,C_83,C_76,C_77,C_67,C_68,C_61,C_62,C_55,C_56,C_49,C_50,C_43,C_44,C_39,C_40,C_30,C_31,C_27,C_13,C_14,C_15,C_3
37,37,,KC242797v1,KC242797v1.KC242797v1,1Oba_Gabon_1996,DRC 2007,155,0.2780,0.1300,0.2810,0.2810,0.2860,0.2780,0.2780,0.2780,0.2830,0.2780,0.2840,0.2780,0.2840,0.2780,0.2830,0.2780,0.2780,0.2870,0.2780,0.2800,0.2780,0.2860,0.2780,0.2830,0.2780,0.1970,0.2780,0.1990,0.2780,0.2810,0.2780,0.2830,0.2780,0.2810,0.2780,0.2840,0.2780,0.2870,0.2780,0.2780,0.2870,0.2780,0.2840,0.2780,0.2830,0.2780,0.2830,0.2780,0.2860,0.2780,0.2830,0.2780,0.2810,0.2810,0.2830,0.2780,0.1530,0.1970,0.1960,0.1970,0.1960,0.1980
38,38,,KC242798v1,KC242798v1.KC242798v1,1Ikot_Gabon_1996,DRC 2007,143,0.2780,0.1300,0.2810,0.2810,0.2860,0.2780,0.2780,0.2780,0.2830,0.2780,0.2850,0.2780,0.2840,0.2780,0.2830,0.2780,0.2780,0.2860,0.2780,0.2800,0.2780,0.2870,0.2780,0.2830,0.2780,0.1970,0.2780,0.1980,0.2780,0.2810,0.2780,0.2830,0.2780,0.2810,0.2780,0.2850,0.2780,0.2860,0.2780,0.2780,0.2860,0.2780,0.2840,0.2780,0.2830,0.2780,0.2830,0.2780,0.2870,0.2780,0.2830,0.2780,0.2810,0.2810,0.2830,0.2780,0.1530,0.1970,0.1960,0.1970,0.1960,0.1980
39,39,,KC242799v1,KC242799v1.KC242799v1,13709Kikwit_1995,DRC 2007,77,0.2790,0.1300,0.2820,0.2820,0.2840,0.2790,0.2790,0.2790,0.2850,0.2790,0.2870,0.2790,0.2870,0.2790,0.2850,0.2790,0.2790,0.2840,0.2790,0.2810,0.2790,0.2840,0.2790,0.2850,0.2790,0.1980,0.2790,0.1990,0.2790,0.2820,0.2790,0.2850,0.2790,0.2820,0.2790,0.2870,0.2790,0.2840,0.2790,0.2790,0.2840,0.2790,0.2870,0.2790,0.2840,0.2790,0.2850,0.2790,0.2840,0.2790,0.2850,0.2790,0.2820,0.2820,0.2840,0.2790,0.1540,0.1980,0.1960,0.1970,0.1960,0.1980
40,40,,KC242800v1,KC242800v1.KC242800v1,Ilembe_2002,DRC 2007,149,0.2790,0.1310,0.2820,0.2820,0.2800,0.2790,0.2790,0.2790,0.2810,0.2790,0.2810,0.2790,0.2810,0.2790,0.2810,0.2790,0.2790,0.2800,0.2790,0.2870,0.2790,0.2800,0.2790,0.2810,0.2790,0.1980,0.2790,0.1990,0.2790,0.2820,0.2790,0.2810,0.2790,0.2820,0.2790,0.2810,0.2790,0.2800,0.2790,0.2790,0.2800,0.2790,0.2810,0.2790,0.2810,0.2790,0.2810,0.2790,0.2800,0.2790,0.2810,0.2790,0.2820,0.2820,0.2810,0.2790,0.1540,0.1980,0.1960,0.1970,0.1960,0.1980
41,41,,KC242801v1,KC242801v1.KC242801v1,deRoover_1976,Zaire(DRC) 1976-7,177,0.2790,0.1300,0.2820,0.2820,0.2840,0.2790,0.2790,0.2790,0.2870,0.2790,0.2850,0.2790,0.2850,0.2790,0.2870,0.2790,0.2790,0.2830,0.2790,0.2810,0.2790,0.2830,0.2790,0.2870,0.2790,0.1980,0.2790,0.1990,0.2790,0.2820,0.2790,0.2870,0.2790,0.2820,0.2790,0.2850,0.2790,0.2830,0.2790,0.2790,0.2830,0.2790,0.2850,0.2790,0.2870,0.2790,0.2870,0.2790,0.2830,0.2790,0.2870,0.2790,0.2820,0.2820,0.2870,0.2800,0.1530,0.1980,0.1960,0.1970,0.1960,0.1980
42,42,,KC545389v1,KC545389v1.KC545389v1,EboSud-602_2012,Sudan 1976-9,22,0.2010,0.1250,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.1930,0.2010,0.1930,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.1460,0.1880,0.2880,0.2700,0.2720,0.1930
43,43,,KC545390v1,KC545390v1.KC545390v1,EboSud-603_2012,Sudan 1976-9,22,0.2010,0.1250,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.1930,0.2010,0.1930,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.1460,0.1880,0.2880,0.2700,0.2720,0.1930
44,44,,KC545391v1,KC545391v1.KC545391v1,EboSud-609_2012,Sudan 1976-9,22,0.2010,0.1250,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.1930,0.2010,0.1930,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.1460,0.1880,0.2880,0.2700,0.2720,0.1930
45,45,,KC545392v1,KC545392v1.KC545392v1,EboSud-682_2012,Sudan 1976-9,22,0.2010,0.1250,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.1930,0.2010,0.1930,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.1460,0.1880,0.2880,0.2700,0.2720,0.1930
46,46,,KC545393v1,KC545393v1.KC545393v1,EboBund-112_2012,Bundibugyo 2007,184,0.2130,0.1270,0.2130,0.2130,0.2120,0.2130,0.2130,0.2130,0.2130,0.2130,0.2120,0.2130,0.2120,0.2130,0.2130,0.2130,0.2130,0.2120,0.2130,0.2120,0.2130,0.2120,0.2130,0.2130,0.2130,0.1970,0.2130,0.1990,0.2130,0.2130,0.2130,0.2130,0.2130,0.2130,0.2130,0.2120,0.2130,0.2120,0.2130,0.2130,0.2120,0.2130,0.2120,0.2130,0.2120,0.2130,0.2130,0.2130,0.2120,0.2130,0.2130,0.2130,0.2130,0.2130,0.2130,0.2130,0.1500,0.2120,0.1940,0.1950,0.1960,0.1980
47,47,,KC545394v1,KC545394v1.KC545394v1,EboBund-120_2012,Bundibugyo 2007,182,0.2130,0.1270,0.2130,0.2130,0.2120,0.2130,0.2130,0.2130,0.2120,0.2130,0.2120,0.2130,0.2120,0.2130,0.2120,0.2130,0.2130,0.2120,0.2130,0.2120,0.2130,0.2120,0.2130,0.2120,0.2130,0.1970,0.2130,0.1990,0.2130,0.2130,0.2130,0.2120,0.2130,0.2130,0.2130,0.2120,0.2130,0.2120,0.2130,0.2130,0.2120,0.2130,0.2120,0.2130,0.2120,0.2130,0.2120,0.2130,0.2120,0.2130,0.2120,0.2130,0.2130,0.2130,0.2120,0.2130,0.1500,0.2120,0.1940,0.1950,0.1960,0.1980
48,48,,KC545395v1,KC545395v1.KC545395v1,EboBund-122_2012,Bundibugyo 2007,28,0.2130,0.1270,0.2130,0.2130,0.2120,0.2130,0.2130,0.2130,0.2130,0.2130,0.2120,0.2130,0.2120,0.2130,0.2130,0.2130,0.2130,0.2120,0.2130,0.2120,0.2130,0.2120,0.2130,0.2130,0.2130,0.1970,0.2130,0.1990,0.2130,0.2130,0.2130,0.2130,0.2130,0.2130,0.2130,0.2120,0.2130,0.2120,0.2130,0.2130,0.2120,0.2130,0.2120,0.2130,0.2120,0.2130,0.2130,0.2130,0.2120,0.2130,0.2120,0.2130,0.2130,0.2130,0.2120,0.2130,0.1500,0.2120,0.1940,0.1950,0.1960,0.1980
49,49,,KC545396v1,KC545396v1.KC545396v1,EboBund-14_2012,Bundibugyo 2007,28,0.2130,0.1270,0.2130,0.2130,0.2120,0.2130,0.2130,0.2130,0.2130,0.2130,0.2120,0.2130,0.2120,0.2130,0.2130,0.2130,0.2130,0.2120,0.2130,0.2120,0.2130,0.2120,0.2130,0.2130,0.2130,0.1970,0.2130,0.1990,0.2130,0.2130,0.2130,0.2130,0.2130,0.2130,0.2130,0.2120,0.2130,0.2120,0.2130,0.2130,0.2120,0.2130,0.2120,0.2130,0.2120,0.2130,0.2130,0.2130,0.2120,0.2130,0.2120,0.2130,0.2130,0.2130,0.2120,0.2130,0.1500,0.2120,0.1940,0.1950,0.1960,0.1980
50,50,,KC589025v1,KC589025v1.KC589025v1,EboSud-639_2012,Sudan 1976-9,23,0.2020,0.1260,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.1960,0.2020,0.1950,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.1480,0.1900,0.2860,0.2730,0.2750,0.1950
51,51,,KJ660346v2,KJ660346v2.KJ660346v2,Guinea_Kissidougou-C15_2014,Ebola 2014,32,0.2870,0.1310,0.2800,0.2800,0.2780,0.2870,0.2870,0.2870,0.2800,0.2870,0.2790,0.2870,0.2790,0.2870,0.2800,0.2870,0.2870,0.2780,0.2870,0.2790,0.2870,0.2780,0.2870,0.2800,0.2870,0.1980,0.2870,0.1980,0.2870,0.2800,0.2870,0.2800,0.2870,0.2800,0.2870,0.2790,0.2870,0.2780,0.2870,0.2870,0.2780,0.2870,0.2790,0.2870,0.2790,0.2870,0.2800,0.2870,0.2780,0.2870,0.2790,0.2870,0.2800,0.2800,0.2800,0.2870,0.1540,0.1980,0.1960,0.1970,0.1970,0.1970
52,52,,KJ660347v2,KJ660347v2.KJ660347v2,Guinea_Gueckedou-C07_2014,Ebola 2014,32,0.2870,0.1310,0.2800,0.2800,0.2780,0.2870,0.2870,0.2870,0.2800,0.2870,0.2800,0.2870,0.2790,0.2870,0.2800,0.2870,0.2870,0.2780,0.2870,0.2790,0.2870,0.2780,0.2870,0.2800,0.2870,0.1980,0.2870,0.1980,0.2870,0.2800,0.2870,0.2800,0.2870,0.2800,0.2870,0.2800,0.2870,0.2780,0.2870,0.2870,0.2780,0.2870,0.2790,0.2870,0.2790,0.2870,0.2800,0.2870,0.2780,0.2870,0.2800,0.2870,0.2800,0.2800,0.2800,0.2870,0.1540,0.1980,0.1960,0.1970,0.1970,0.1980
53,53,,KJ660348v2,KJ660348v2.KJ660348v2,Guinea_Gueckedou-C05_2014,Ebola 2014,195,0.2870,0.1310,0.2800,0.2800,0.2780,0.2870,0.2870,0.2870,0.2800,0.2870,0.2800,0.2870,0.2790,0.2870,0.2800,0.2870,0.2870,0.2780,0.2870,0.2790,0.2870,0.2780,0.2870,0.2800,0.2870,0.1980,0.2870,0.1980,0.2870,0.2800,0.2870,0.2800,0.2870,0.2800,0.2870,0.2800,0.2870,0.2780,0.2870,0.2870,0.2780,0.2870,0.2790,0.2870,0.2790,0.2870,0.2800,0.2870,0.2780,0.2870,0.2800,0.2870,0.2800,0.2800,0.2800,0.2870,0.1540,0.1980,0.1960,0.1970,0.1970,0.1980
54,54,,KM034549v1,KM034549v1.KM034549v1,EM095B_2014,Ebola 2014,120,0.2890,0.1320,0.2830,0.2830,0.2800,0.2890,0.2890,0.2890,0.2820,0.2890,0.2820,0.2890,0.2820,0.2890,0.2820,0.2890,0.2890,0.2800,0.2890,0.2810,0.2890,0.2800,0.2890,0.2820,0.2890,0.1990,0.2890,0.2000,0.2890,0.2820,0.2890,0.2820,0.2890,0.2830,0.2890,0.2820,0.2890,0.2800,0.2890,0.2890,0.2800,0.2890,0.2820,0.2890,0.2820,0.2890,0.2820,0.2890,0.2800,0.2890,0.2820,0.2890,0.2830,0.2830,0.2820,0.2890,0.1550,0.1990,0.1980,0.1990,0.1980,0.1990
55,55,,KM034550v1,KM034550v1.KM034550v1,EM095_2014,Ebola 2014,106,0.2880,0.1310,0.2810,0.2810,0.2790,0.2880,0.2880,0.2880,0.2810,0.2880,0.2800,0.2880,0.2800,0.2880,0.2810,0.2880,0.2880,0.2790,0.2880,0.2800,0.2880,0.2790,0.2880,0.2810,0.2880,0.1980,0.2880,0.1990,0.2880,0.2810,0.2880,0.2810,0.2880,0.2810,0.2880,0.2800,0.2880,0.2790,0.2880,0.2880,0.2790,0.2880,0.2800,0.2880,0.2800,0.2880,0.2810,0.2880,0.2790,0.2880,0.2800,0.2880,0.2810,0.2810,0.2810,0.2880,0.1540,0.1990,0.1970,0.1980,0.1970,0.1980
56,56,,KM034551v1,KM034551v1.KM034551v1,EM096_2014,Ebola 2014,79,0.2870,0.1310,0.2810,0.2810,0.2790,0.2870,0.2870,0.2870,0.2800,0.2870,0.2800,0.2870,0.2800,0.2870,0.2800,0.2870,0.2870,0.2780,0.2870,0.2790,0.2870,0.2780,0.2870,0.2800,0.2870,0.1980,0.2870,0.1980,0.2870,0.2810,0.2870,0.2800,0.2870,0.2810,0.2870,0.2800,0.2870,0.2780,0.2870,0.2870,0.2780,0.2870,0.2800,0.2870,0.2800,0.2870,0.2800,0.2870,0.2780,0.2870,0.2800,0.2870,0.2810,0.2810,0.2800,0.2870,0.1540,0.1980,0.1970,0.1970,0.1970,0.1980
57,57,,KM034552v1,KM034552v1.KM034552v1,EM098_2014,Ebola 2014,57,0.2900,0.1320,0.2830,0.2830,0.2810,0.2900,0.2900,0.2900,0.2820,0.2900,0.2820,0.2900,0.2820,0.2900,0.2820,0.2900,0.2900,0.2810,0.2900,0.2820,0.2900,0.2810,0.2900,0.2820,0.2900,0.1990,0.2900,0.2000,0.2900,0.2830,0.2900,0.2820,0.2900,0.2830,0.2900,0.2820,0.2900,0.2810,0.2900,0.2900,0.2810,0.2900,0.2820,0.2900,0.2820,0.2900,0.2820,0.2900,0.2810,0.2900,0.2820,0.2900,0.2830,0.2830,0.2820,0.2900,0.1550,0.2000,0.1980,0.1990,0.1990,0.1990
58,58,,KM034553v1,KM034553v1.KM034553v1,G3670v1_2014,Ebola 2014,46,0.2870,0.1310,0.2810,0.2810,0.2780,0.2870,0.2870,0.2870,0.2800,0.2870,0.2800,0.2870,0.2800,0.2870,0.2800,0.2870,0.2870,0.2780,0.2870,0.2790,0.2870,0.2780,0.2870,0.2800,0.2870,0.1980,0.2870,0.1980,0.2870,0.2810,0.2870,0.2800,0.2870,0.2810,0.2870,0.2800,0.2870,0.2780,0.2870,0.2870,0.2780,0.2870,0.2800,0.2870,0.2800,0.2870,0.2800,0.2870,0.2780,0.2870,0.2800,0.2870,0.2810,0.2810,0.2800,0.2870,0.1540,0.1980,0.1970,0.1970,0.1970,0.1980
59,59,,KM034554v1,KM034554v1.KM034554v1,G3676v1_2014,Ebola 2014,46,0.2870,0.1310,0.2800,0.2800,0.2780,0.2870,0.2870,0.2870,0.2800,0.2870,0.2800,0.2870,0.2800,0.2870,0.2800,0.2870,0.2870,0.2780,0.2870,0.2790,0.2870,0.2780,0.2870,0.2800,0.2870,0.1980,0.2870,0.1980,0.2870,0.2800,0.2870,0.2800,0.2870,0.2800,0.2870,0.2800,0.2870,0.2780,0.2870,0.2870,0.2780,0.2870,0.2800,0.2870,0.2800,0.2870,0.2800,0.2870,0.2780,0.2870,0.2800,0.2870,0.2800,0.2800,0.2800,0.2870,0.1540,0.1980,0.1960,0.1970,0.1970,0.1980
60,60,,KM034555v1,KM034555v1.KM034555v1,G3676v2_2014,Ebola 2014,159,0.2870,0.1310,0.2800,0.2800,0.2780,0.2870,0.2870,0.2870,0.2800,0.2870,0.2800,0.2870,0.2790,0.2870,0.2800,0.2870,0.2870,0.2780,0.2870,0.2790,0.2870,0.2780,0.2870,0.2800,0.2870,0.1980,0.2870,0.1980,0.2870,0.2800,0.2870,0.2800,0.2870,0.2800,0.2870,0.2800,0.2870,0.2780,0.2870,0.2870,0.2780,0.2870,0.2790,0.2870,0.2790,0.2870,0.2800,0.2870,0.2780,0.2870,0.2800,0.2870,0.2800,0.2800,0.2800,0.2870,0.1540,0.1980,0.1960,0.1970,0.1970,0.1980
61,61,,KM034556v1,KM034556v1.KM034556v1,G3677v1_2014,Ebola 2014,87,0.2870,0.1310,0.2810,0.2810,0.2780,0.2870,0.2870,0.2870,0.2800,0.2870,0.2800,0.2870,0.2800,0.2870,0.2800,0.2870,0.2870,0.2780,0.2870,0.2790,0.2870,0.2780,0.2870,0.2800,0.2870,0.1980,0.2870,0.1980,0.2870,0.2800,0.2870,0.2800,0.2870,0.2810,0.2870,0.2800,0.2870,0.2780,0.2870,0.2870,0.2780,0.2870,0.2800,0.2870,0.2800,0.2870,0.2800,0.2870,0.2780,0.2870,0.2800,0.2870,0.2810,0.2810,0.2800,0.2870,0.1540,0.1980,0.1970,0.1970,0.1970,0.1980
62,62,,KM034557v1,KM034557v1.KM034557v1,G3677v2_2014,Ebola 2014,52,0.2870,0.1310,0.2800,0.2800,0.2780,0.2870,0.2870,0.2870,0.2800,0.2870,0.2790,0.2870,0.2790,0.2870,0.2800,0.2870,0.2870,0.2780,0.2870,0.2790,0.2870,0.2780,0.2870,0.2800,0.2870,0.1980,0.2870,0.1980,0.2870,0.2800,0.2870,0.2800,0.2870,0.2800,0.2870,0.2790,0.2870,0.2780,0.2870,0.2870,0.2780,0.2870,0.2790,0.2870,0.2790,0.2870,0.2800,0.2870,0.2780,0.2870,0.2790,0.2870,0.2800,0.2800,0.2800,0.2870,0.1540,0.1980,0.1960,0.1970,0.1970,0.1970
63,63,,KM034558v1,KM034558v1.KM034558v1,G3679v1_2014,Ebola 2014,51,0.2880,0.1310,0.2810,0.2810,0.2790,0.2870,0.2870,0.2880,0.2800,0.2880,0.2800,0.2880,0.2800,0.2870,0.2800,0.2880,0.2880,0.2790,0.2880,0.2800,0.2880,0.2790,0.2870,0.2800,0.2880,0.1980,0.2880,0.1990,0.2880,0.2810,0.2880,0.2800,0.2880,0.2810,0.2880,0.2800,0.2880,0.2790,0.2880,0.2880,0.2790,0.2880,0.2800,0.2880,0.2800,0.2880,0.2800,0.2880,0.2790,0.2880,0.2800,0.2880,0.2810,0.2810,0.2800,0.2870,0.1540,0.1980,0.1970,0.1980,0.1970,0.1980
64,64,,KM034559v1,KM034559v1.KM034559v1,G3680v1_2014,Ebola 2014,58,0.2870,0.1310,0.2810,0.2810,0.2790,0.2870,0.2870,0.2870,0.2800,0.2870,0.2800,0.2870,0.2800,0.2870,0.2800,0.2870,0.2870,0.2780,0.2870,0.2800,0.2870,0.2780,0.2870,0.2800,0.2870,0.1980,0.2870,0.1990,0.2870,0.2810,0.2870,0.2800,0.2870,0.2810,0.2870,0.2800,0.2870,0.2780,0.2870,0.2870,0.2780,0.2870,0.2800,0.2870,0.2800,0.2870,0.2800,0.2870,0.2780,0.2870,0.2800,0.2870,0.2810,0.2810,0.2800,0.2870,0.1540,0.1980,0.1970,0.1970,0.1970,0.1980
65,65,,KM034560v1,KM034560v1.KM034560v1,G3682v1_2014,Ebola 2014,64,0.2870,0.1310,0.2800,0.2800,0.2780,0.2870,0.2870,0.2870,0.2800,0.2870,0.2800,0.2870,0.2790,0.2870,0.2800,0.2870,0.2870,0.2780,0.2870,0.2790,0.2870,0.2780,0.2870,0.2800,0.2870,0.1980,0.2870,0.1980,0.2870,0.2800,0.2870,0.2800,0.2870,0.2800,0.2870,0.2800,0.2870,0.2780,0.2870,0.2870,0.2780,0.2870,0.2790,0.2870,0.2790,0.2870,0.2800,0.2870,0.2780,0.2870,0.2800,0.2870,0.2800,0.2800,0.2800,0.2870,0.1540,0.1980,0.1960,0.1970,0.1970,0.1970
66,66,,KM034561v1,KM034561v1.KM034561v1,G3683v1_2014,Ebola 2014,63,0.2880,0.1310,0.2810,0.2810,0.2790,0.2880,0.2870,0.2880,0.2800,0.2880,0.2800,0.2880,0.2800,0.2880,0.2800,0.2880,0.2880,0.2790,0.2880,0.2800,0.2880,0.2790,0.2880,0.2800,0.2880,0.1980,0.2880,0.1990,0.2880,0.2810,0.2880,0.2800,0.2880,0.2810,0.2880,0.2800,0.2880,0.2790,0.2880,0.2880,0.2790,0.2880,0.2800,0.2880,0.2800,0.2880,0.2800,0.2880,0.2790,0.2880,0.2800,0.2880,0.2810,0.2810,0.2800,0.2880,0.1540,0.1980,0.1970,0.1980,0.1970,0.1980
67,67,,KM034563v1,KM034563v1.KM034563v1,G3687v1_2014,Ebola 2014,72,0.2940,0.1340,0.2870,0.2870,0.2850,0.2940,0.2940,0.2940,0.2860,0.2940,0.2860,0.2940,0.2860,0.2940,0.2860,0.2940,0.2940,0.2850,0.2940,0.2860,0.2940,0.2850,0.2940,0.2860,0.2940,0.2020,0.2940,0.2030,0.2940,0.2870,0.2940,0.2860,0.2940,0.2870,0.2940,0.2860,0.2940,0.2850,0.2940,0.2940,0.2850,0.2940,0.2860,0.2940,0.2860,0.2940,0.2860,0.2940,0.2850,0.2940,0.2860,0.2940,0.2870,0.2870,0.2860,0.2940,0.1570,0.2030,0.2010,0.2020,0.2010,0.2020
68,68,,KM233035v1,KM233035v1.KM233035v1,EM104_2014,Ebola 2014,71,0.2880,0.1310,0.2810,0.2810,0.2790,0.2880,0.2870,0.2880,0.2800,0.2880,0.2800,0.2880,0.2800,0.2880,0.2800,0.2880,0.2880,0.2790,0.2880,0.2800,0.2880,0.2790,0.2880,0.2800,0.2880,0.1980,0.2880,0.1990,0.2880,0.2810,0.2880,0.2800,0.2880,0.2810,0.2880,0.2800,0.2880,0.2790,0.2880,0.2880,0.2790,0.2880,0.2800,0.2880,0.2800,0.2880,0.2800,0.2880,0.2790,0.2880,0.2800,0.2880,0.2810,0.2810,0.2800,0.2880,0.1540,0.1980,0.1970,0.1980,0.1970,0.1980
69,69,,KM233036v1,KM233036v1.KM233036v1,EM106_2014,Ebola 2014,78,0.2880,0.1310,0.2810,0.2810,0.2790,0.2880,0.2880,0.2880,0.2810,0.2880,0.2810,0.2880,0.2810,0.2880,0.2810,0.2880,0.2880,0.2790,0.2880,0.2800,0.2880,0.2790,0.2880,0.2810,0.2880,0.1980,0.2880,0.1990,0.2880,0.2810,0.2880,0.2810,0.2880,0.2810,0.2880,0.2810,0.2880,0.2790,0.2880,0.2880,0.2790,0.2880,0.2810,0.2880,0.2810,0.2880,0.2810,0.2880,0.2790,0.2880,0.2810,0.2880,0.2810,0.2810,0.2810,0.2880,0.1540,0.1990,0.1970,0.1980,0.1970,0.1980
70,70,,KM233037v1,KM233037v1.KM233037v1,EM110_2014,Ebola 2014,84,0.2880,0.1310,0.2810,0.2810,0.2790,0.2880,0.2870,0.2880,0.2800,0.2880,0.2800,0.2880,0.2800,0.2880,0.2800,0.2880,0.2880,0.2790,0.2880,0.2800,0.2880,0.2790,0.2880,0.2800,0.2880,0.1980,0.2880,0.1990,0.2880,0.2810,0.2880,0.2800,0.2880,0.2810,0.2880,0.2800,0.2880,0.2790,0.2880,0.2880,0.2790,0.2880,0.2800,0.2880,0.2800,0.2880,0.2800,0.2880,0.2790,0.2880,0.2800,0.2880,0.2810,0.2810,0.2800,0.2880,0.1540,0.1980,0.1970,0.1980,0.1970,0.1980
71,71,,KM233038v1,KM233038v1.KM233038v1,EM111_2014,Ebola 2014,84,0.2880,0.1310,0.2810,0.2810,0.2790,0.2880,0.2870,0.2880,0.2800,0.2880,0.2800,0.2880,0.2800,0.2880,0.2800,0.2880,0.2880,0.2790,0.2880,0.2800,0.2880,0.2790,0.2880,0.2800,0.2880,0.1980,0.2880,0.1990,0.2880,0.2810,0.2880,0.2800,0.2880,0.2810,0.2880,0.2800,0.2880,0.2790,0.2880,0.2880,0.2790,0.2880,0.2800,0.2880,0.2800,0.2880,0.2800,0.2880,0.2790,0.2880,0.2800,0.2880,0.2810,0.2810,0.2800,0.2880,0.1540,0.1980,0.1970,0.1980,0.1970,0.1980
72,72,,KM233039v1,KM233039v1.KM233039v1,EM112_2014,Ebola 2014,87,0.2870,0.1310,0.2800,0.2800,0.2780,0.2870,0.2870,0.2870,0.2800,0.2870,0.2800,0.2870,0.2790,0.2870,0.2800,0.2870,0.2870,0.2780,0.2870,0.2790,0.2870,0.2780,0.2870,0.2800,0.2870,0.1980,0.2870,0.1980,0.2870,0.2800,0.2870,0.2800,0.2870,0.2800,0.2870,0.2800,0.2870,0.2780,0.2870,0.2870,0.2780,0.2870,0.2790,0.2870,0.2790,0.2870,0.2800,0.2870,0.2780,0.2870,0.2800,0.2870,0.2800,0.2800,0.2800,0.2870,0.1540,0.1980,0.1960,0.1970,0.1970,0.1970
73,73,,KM233040v1,KM233040v1.KM233040v1,EM113_2014,Ebola 2014,87,0.2870,0.1310,0.2810,0.2810,0.2790,0.2870,0.2870,0.2870,0.2800,0.2870,0.2800,0.2870,0.2800,0.2870,0.2800,0.2870,0.2870,0.2780,0.2870,0.2800,0.2870,0.2780,0.2870,0.2800,0.2870,0.1980,0.2870,0.1980,0.2870,0.2810,0.2870,0.2800,0.2870,0.2810,0.2870,0.2800,0.2870,0.2780,0.2870,0.2870,0.2780,0.2870,0.2800,0.2870,0.2800,0.2870,0.2800,0.2870,0.2780,0.2870,0.2800,0.2870,0.2810,0.2810,0.2800,0.2870,0.1540,0.1980,0.1970,0.1970,0.1970,0.1980
74,74,,KM233041v1,KM233041v1.KM233041v1,EM115_2014,Ebola 2014,92,0.2880,0.1310,0.2810,0.2810,0.2790,0.2880,0.2880,0.2880,0.2810,0.2880,0.2800,0.2880,0.2800,0.2880,0.2810,0.2880,0.2880,0.2790,0.2880,0.2800,0.2880,0.2790,0.2880,0.2810,0.2880,0.1980,0.2880,0.1990,0.2880,0.2810,0.2880,0.2810,0.2880,0.2810,0.2880,0.2800,0.2880,0.2790,0.2880,0.2880,0.2790,0.2880,0.2800,0.2880,0.2800,0.2880,0.2810,0.2880,0.2790,0.2880,0.2800,0.2880,0.2810,0.2810,0.2810,0.2880,0.1540,0.1990,0.1970,0.1980,0.1970,0.1980
